day	stream	len	count
20220104	orders	8	30669196
20220104	orders	9	71785330
20220104	trades	8	23154061
20220104	trades	9	62564768
20220104	xinqing	8	1977375
20220104	xinqing	9	11058622
20220105	orders	8	32074307
20220105	orders	9	73953209
20220105	trades	8	24092871
20220105	trades	9	64695485
20220105	xinqing	8	1974103
20220105	xinqing	9	11025022
20220106	orders	8	28986385
20220106	orders	9	63938692
20220106	trades	8	21301561
20220106	trades	9	54498271
20220106	xinqing	8	1946059
20220106	xinqing	9	10227121
20220107	orders	8	30082231
20220107	orders	9	72567992
20220107	trades	8	22066233
20220107	trades	9	62766574
20220107	xinqing	8	1946597
20220107	xinqing	9	11331497
20220110	orders	8	31863533
20220110	orders	9	64064681
20220110	trades	8	24255975
20220110	trades	9	54300942
20220110	xinqing	8	1960354
20220110	xinqing	9	10522096
20220111	orders	8	29729656
20220111	orders	9	67422585
20220111	trades	8	21625981
20220111	trades	9	57757159
20220111	xinqing	8	1944856
20220111	xinqing	9	11028732
20220112	orders	8	30548539
20220112	orders	9	65609802
20220112	trades	8	22409068
20220112	trades	9	55549113
20220112	xinqing	8	1944484
20220112	xinqing	9	10934224
20220113	orders	8	31112144
20220113	orders	9	64383286
20220113	trades	8	23090407
20220113	trades	9	55339030
20220113	xinqing	8	1958509
20220113	xinqing	9	10676609
20220114	orders	8	28947639
20220114	orders	9	65318077
20220114	trades	8	21506433
20220114	trades	9	57033950
20220114	xinqing	8	1926029
20220114	xinqing	9	10795627
20220117	orders	8	29637523
20220117	orders	9	59727054
20220117	trades	8	22539238
20220117	trades	9	51314609
20220117	xinqing	8	1962551
20220117	xinqing	9	10906320
20220118	orders	8	30601792
20220118	orders	9	66715474
20220118	trades	8	23252673
20220118	trades	9	57951356
20220118	xinqing	8	1964387
20220118	xinqing	9	11137511
20220119	orders	8	30143524
20220119	orders	9	61561156
20220119	trades	8	22504471
20220119	trades	9	53103284
20220119	xinqing	8	1942023
20220119	xinqing	9	10896111
20220120	orders	8	29045352
20220120	orders	9	67801870
20220120	trades	8	21591694
20220120	trades	9	58922883
20220120	xinqing	8	1943544
20220120	xinqing	9	10944045
20220121	orders	8	28912345
20220121	orders	9	61632018
20220121	trades	8	21837844
20220121	trades	9	53096273
20220121	xinqing	8	1938401
20220121	xinqing	9	10523092
20220124	orders	8	26413598
